relativeTimestamp,absoluteTimestamp,value
0.0,2018-11-25T22:44:40Z,47.62386248736098
10.0,2018-11-25T22:44:50Z,54.46787148594372
20.0,2018-11-25T22:45:00Z,24.824473420260944
30.0,2018-11-25T22:45:10Z,0.45022511255615427
40.0,2018-11-25T22:45:20Z,0.4995004995003285
50.0,2018-11-25T22:45:30Z,1.9548872180453287
60.0,2018-11-25T22:45:40Z,6.817042606516338
70.0,2018-11-25T22:45:50Z,5.197401299350432
80.0,2018-11-25T22:46:00Z,1.0999999999998522
90.0,2018-11-25T22:46:10Z,0.8008008008006442
100.0,2018-11-25T22:46:20Z,1.2999999999999545
110.0,2018-11-25T22:46:30Z,1.7500000000000995
120.0,2018-11-25T22:46:40Z,0.6015037593985255
130.0,2018-11-25T22:46:50Z,0.850425212606666
140.0,2018-11-25T22:47:00Z,0.5015045135401692
150.0,2018-11-25T22:47:10Z,21.371371371371268
160.0,2018-11-25T22:47:20Z,91.01405622489982
170.0,2018-11-25T22:47:30Z,85.29854490717484
180.0,2018-11-25T22:47:40Z,82.35294117647052
190.0,2018-11-25T22:47:50Z,82.01005025125616
200.0,2018-11-25T22:48:00Z,79.09319899244335
210.0,2018-11-25T22:48:10Z,79.4781736076266
220.0,2018-11-25T22:48:20Z,78.7481070166586
230.0,2018-11-25T22:48:30Z,73.70537958773242
240.0,2018-11-25T22:48:40Z,81.34663341645887
250.0,2018-11-25T22:48:50Z,74.5999999999998
260.0,2018-11-25T22:49:00Z,71.25506072874518
270.0,2018-11-25T22:49:10Z,73.15369261477043
280.0,2018-11-25T22:49:20Z,79.99999999999989
290.0,2018-11-25T22:49:30Z,84.41754916792725
300.0,2018-11-25T22:49:40Z,81.22489959839396
310.0,2018-11-25T22:49:50Z,72.71810388300534
320.0,2018-11-25T22:50:00Z,77.15863453815292
330.0,2018-11-25T22:50:10Z,70.58232931726877
340.0,2018-11-25T22:50:20Z,73.82989431303466
350.0,2018-11-25T22:50:30Z,67.61619190404807
360.0,2018-11-25T22:50:40Z,78.47397675593702
370.0,2018-11-25T22:50:50Z,78.89168765743094
380.0,2018-11-25T22:51:00Z,75.81372058087113
390.0,2018-11-25T22:51:10Z,77.7777777777781
400.0,2018-11-25T22:51:20Z,70.79556898288024
410.0,2018-11-25T22:51:30Z,69.74874371859262
420.0,2018-11-25T22:51:40Z,72.64056224899612
430.0,2018-11-25T22:51:50Z,72.44174265450835
440.0,2018-11-25T22:52:00Z,82.87568647029478
450.0,2018-11-25T22:52:10Z,80.42168674698814
460.0,2018-11-25T22:52:20Z,65.96491228070144
470.0,2018-11-25T22:52:30Z,73.36331834082964
480.0,2018-11-25T22:52:40Z,67.22138174483169
490.0,2018-11-25T22:52:50Z,80.58645096056581
500.0,2018-11-25T22:53:00Z,76.78391959799004
510.0,2018-11-25T22:53:10Z,71.90954773869343
520.0,2018-11-25T22:53:20Z,72.08249496981898
530.0,2018-11-25T22:53:30Z,71.84024266936271
540.0,2018-11-25T22:53:40Z,72.88220551378468
550.0,2018-11-25T22:53:50Z,70.78313253012034
560.0,2018-11-25T22:54:00Z,71.87969924812086
570.0,2018-11-25T22:54:10Z,71.87343043696603
580.0,2018-11-25T22:54:20Z,72.25288509784268
590.0,2018-11-25T22:54:30Z,81.91919191919168
600.0,2018-11-25T22:54:40Z,70.9237758707723
610.0,2018-11-25T22:54:50Z,69.04400606980268
620.0,2018-11-25T22:55:00Z,61.36708860759496
630.0,2018-11-25T22:55:10Z,78.00808897876628
640.0,2018-11-25T22:55:20Z,74.17251755265816
650.0,2018-11-25T22:55:30Z,72.99898682877387
660.0,2018-11-25T22:55:40Z,74.33182047402958
670.0,2018-11-25T22:55:50Z,69.91461577096968
680.0,2018-11-25T22:56:00Z,68.0625630676078
690.0,2018-11-25T22:56:10Z,71.75879396984935
700.0,2018-11-25T22:56:20Z,74.04233870967772
710.0,2018-11-25T22:56:30Z,63.76518218623397
720.0,2018-11-25T22:56:40Z,79.87987987988022
730.0,2018-11-25T22:56:50Z,81.00050530570975
740.0,2018-11-25T22:57:00Z,80.94282848545687
750.0,2018-11-25T22:57:10Z,74.41977800201784
760.0,2018-11-25T22:57:20Z,65.40975364504757
770.0,2018-11-25T22:57:30Z,64.71479050984337
780.0,2018-11-25T22:57:40Z,75.32597793380197
790.0,2018-11-25T22:57:50Z,76.86491935483845
800.0,2018-11-25T22:58:00Z,75.6085192697769
810.0,2018-11-25T22:58:10Z,92.56825075834169
820.0,2018-11-25T22:58:20Z,75.38614848031881
830.0,2018-11-25T22:58:30Z,65.89769307923726
840.0,2018-11-25T22:58:40Z,63.64092276830502
850.0,2018-11-25T22:58:50Z,90.29322548028343
860.0,2018-11-25T22:59:00Z,88.51385390428163
870.0,2018-11-25T22:59:10Z,64.37531359759174
880.0,2018-11-25T22:59:20Z,73.165829145728
890.0,2018-11-25T22:59:30Z,70.4926358557648
900.0,2018-11-25T22:59:40Z,78.53881278538866
910.0,2018-11-25T22:59:50Z,61.61971830985851
920.0,2018-11-25T23:00:00Z,68.82263769580683
930.0,2018-11-25T23:00:10Z,75.71357035553292
940.0,2018-11-25T23:00:20Z,72.01811776547571
950.0,2018-11-25T23:00:30Z,72.63581488933526
960.0,2018-11-25T23:00:40Z,78.98696088264774
970.0,2018-11-25T23:00:50Z,67.20000000000027
980.0,2018-11-25T23:01:00Z,73.28282828282872
990.0,2018-11-25T23:01:10Z,68.77210712481013
1000.0,2018-11-25T23:01:20Z,77.77777777777867
1010.0,2018-11-25T23:01:30Z,74.26988922457093
