relativeTimestamp,absoluteTimestamp,value
0.0,2018-11-25T19:15:50Z,0.239172
10.0,2018-11-25T19:16:00Z,0.043554
20.0,2018-11-25T19:16:10Z,0.135402
30.0,2018-11-25T19:16:20Z,0.063358
40.0,2018-11-25T19:16:30Z,0.080722
50.0,2018-11-25T19:16:40Z,0.102348
60.0,2018-11-25T19:16:50Z,0.217221
70.0,2018-11-25T19:17:00Z,0.16545
80.0,2018-11-25T19:17:10Z,0.184138
90.0,2018-11-25T19:17:20Z,3.103887
100.0,2018-11-25T19:17:30Z,5.820648
110.0,2018-11-25T19:17:40Z,6.358608
120.0,2018-11-25T19:17:50Z,6.646518
130.0,2018-11-25T19:18:00Z,5.836206
140.0,2018-11-25T19:18:10Z,6.639164
150.0,2018-11-25T19:18:20Z,6.529646
160.0,2018-11-25T19:18:30Z,6.884332
170.0,2018-11-25T19:18:40Z,7.430132
180.0,2018-11-25T19:18:50Z,5.89203
190.0,2018-11-25T19:19:00Z,7.177906
200.0,2018-11-25T19:19:10Z,7.116469
210.0,2018-11-25T19:19:20Z,8.051026
220.0,2018-11-25T19:19:30Z,7.532112
230.0,2018-11-25T19:19:40Z,7.612493
240.0,2018-11-25T19:19:50Z,7.349536
250.0,2018-11-25T19:20:00Z,6.957194
260.0,2018-11-25T19:20:10Z,5.904748
270.0,2018-11-25T19:20:20Z,6.903386
280.0,2018-11-25T19:20:30Z,8.137016
290.0,2018-11-25T19:20:40Z,8.010837
300.0,2018-11-25T19:20:50Z,6.958232
310.0,2018-11-25T19:21:00Z,7.801481
320.0,2018-11-25T19:21:10Z,6.811802
330.0,2018-11-25T19:21:20Z,5.764979
340.0,2018-11-25T19:21:30Z,7.436479
350.0,2018-11-25T19:21:40Z,7.755338
360.0,2018-11-25T19:21:50Z,7.705536
370.0,2018-11-25T19:22:00Z,7.481251
380.0,2018-11-25T19:22:10Z,7.717631
390.0,2018-11-25T19:22:20Z,6.505203
400.0,2018-11-25T19:22:30Z,6.379221
410.0,2018-11-25T19:22:40Z,8.657631
420.0,2018-11-25T19:22:50Z,8.546925
430.0,2018-11-25T19:23:00Z,7.943025
440.0,2018-11-25T19:23:10Z,7.43864
450.0,2018-11-25T19:23:20Z,7.760966
460.0,2018-11-25T19:23:30Z,6.81706
470.0,2018-11-25T19:23:40Z,6.478946
480.0,2018-11-25T19:23:50Z,7.991124
490.0,2018-11-25T19:24:00Z,8.276954
500.0,2018-11-25T19:24:10Z,7.96822
510.0,2018-11-25T19:24:20Z,7.809025
520.0,2018-11-25T19:24:30Z,7.300409
530.0,2018-11-25T19:24:40Z,6.550309
540.0,2018-11-25T19:24:50Z,7.655047
550.0,2018-11-25T19:25:00Z,8.098311
560.0,2018-11-25T19:25:10Z,7.582208
570.0,2018-11-25T19:25:20Z,7.601646
580.0,2018-11-25T19:25:30Z,6.643572
590.0,2018-11-25T19:25:40Z,6.940903
600.0,2018-11-25T19:25:50Z,7.692692
610.0,2018-11-25T19:26:00Z,7.860774
620.0,2018-11-25T19:26:10Z,8.068691
630.0,2018-11-25T19:26:20Z,7.347977
640.0,2018-11-25T19:26:30Z,7.118311
650.0,2018-11-25T19:26:40Z,6.531232
660.0,2018-11-25T19:26:50Z,6.185142
670.0,2018-11-25T19:27:00Z,6.583786
680.0,2018-11-25T19:27:10Z,6.271336
690.0,2018-11-25T19:27:20Z,6.307602
700.0,2018-11-25T19:27:30Z,6.329935
710.0,2018-11-25T19:27:40Z,5.448168
720.0,2018-11-25T19:27:50Z,5.764339
730.0,2018-11-25T19:28:00Z,5.051792
740.0,2018-11-25T19:28:10Z,5.381836
750.0,2018-11-25T19:28:20Z,6.140531
760.0,2018-11-25T19:28:30Z,6.137061
770.0,2018-11-25T19:28:40Z,6.575343
780.0,2018-11-25T19:28:50Z,6.201331
